 [1] "N" "I" "M" "W" "O" "S" "J" "X" "A" "F"
          N     I     M     W     O     S     J     X     A     F
[15,] -1.41891826 -0.14236654  1.03254972  1.61338063
[16,] -0.24163983  1.38276961 -0.91729239  0.39048461
[17,] -0.19583133 -0.57899826 -1.16427239  0.47835738
[18,] -1.69376926 -1.58755604  2.44943498 -0.68229543
[19,]  0.93563859 -1.36001556  0.01429884  0.14517314
[20,] -0.47984403 -0.76964028 -0.21968221 -1.49877990
[1] " "
[1] "zmat2"
                A           F           I           J           M          N
 [1,] -0.92162537 -1.97475739  0.89971490 -0.08131009  1.90427422 -0.9421373
 [2,] -0.41466642 -0.04887923  0.11021429 -0.62185038 -0.62939581  0.5183112
 [3,] -0.54898888  0.73831432  0.17337433  1.98007238 -0.41322952  1.3176107
 [4,] -0.34967168  0.32824140  1.31025522  0.77988970  0.16488964 -2.0670774
 [5,]  0.16162025  0.69071657 -0.14874192  1.76477243 -0.55398896  0.6712636
 [6,]  0.35227147  1.47791012 -1.10245866  0.16605581 -0.52885335  0.7452728
 [7,]  1.26653077  0.88110757  1.45552333 -0.48442488 -0.66458567 -0.3204599
 [8,] -0.25001309 -0.34911118 -0.56559824 -1.29523531 -0.81037224 -0.2908562
 [9,] -0.46666221  0.54060059  0.71023475 -0.48900573 -0.08143939 -0.3105920
[10,]  1.08454551 -0.12210653 -0.45191015  0.29890046 -0.05127666 -0.6312986
[11,]  1.28819568 -0.37107938  2.11870385  1.02267474 -1.36838290 -0.2217809
[12,] -0.15035449 -2.06629152  0.12916230  0.32638556 -0.13673775 -0.7398454
[13,] -0.47966116 -0.55414764 -0.16768993 -0.97915667 -0.66961279 -0.5178178
[14,] -1.76655695  0.38316188  0.09758228  0.70659610 -0.57409745  0.3110854
[15,]  1.03254972  1.61338063 -1.32983484 -1.41891826  0.28554059  1.1942620
[16,] -0.91729239  0.39048461 -0.74876238 -0.24163983  1.01447343  0.1383972
[17,] -1.16427239  0.47835738 -2.02459538 -0.19583133  2.10535914 -0.2563186
[18,]  2.44943498 -0.68229543 -0.96350655 -1.69376926 -0.33279555 -0.6510344
[19,]  0.01429884  0.14517314  0.35653848  0.93563859  2.06011503 -0.5770252
[20,] -0.21968221 -1.49877990  0.14179431 -0.47984403 -0.71988402  2.6300408
                O          S           W           X
 [1,] -0.41315366  0.8570902  0.34483182 -0.70199311
 [2,] -0.40230973 -0.5883106  2.12052826  1.42581781
 [3,] -1.70358110  0.2886741 -0.30172784  0.49105694
 [4,] -0.40773169 -0.6289117 -0.89675013 -0.42525470
 [5,]  0.70377093 -1.1567266 -0.27830177  0.34346312
 [6,]  0.54111201  0.4510787  1.39431995  0.20201904
 [7,]  0.37845309 -1.2704098 -1.33716033  1.75790390
 [8,] -0.65714204  0.4591990  1.01481755  0.04827548
 [9,] -0.42399759  0.7596474  0.97733583  0.33116364
[10,] -1.51381236  0.1019089  0.04497806  0.14052162
[11,] -0.27760456 -0.1335778 -0.26424612 -0.75119105
[12,]  0.05855721 -0.8725186 -0.69528589 -0.16696551
[13,]  1.63092678 -1.6195797 -0.61095202  1.72715519
[14,]  0.86642985  1.5635501  0.34014660 -1.36616530
[15,] -0.75473739  0.2155921  1.67074763 -0.14236654
[16,]  0.16699649  1.5310692 -0.41417300  1.38276961
[17,] -1.44874879 -1.8388259 -1.57142108 -0.57899826
[18,]  0.73630271  0.4591990 -0.94828750 -1.58755604
[19,]  0.83932003  1.2793421 -0.02530016 -1.36001556
[20,]  2.08094979  0.1425100 -0.56409987 -0.76964028
[1] " "
[1] "zmat3"
                A           F           I           J           M          N
 [1,] -1.76655695  0.38316188  0.09758228  0.70659610 -0.57409745  0.3110854
 [2,] -1.16427239  0.47835738 -2.02459538 -0.19583133  2.10535914 -0.2563186
 [3,] -0.92162537 -1.97475739  0.89971490 -0.08131009  1.90427422 -0.9421373
 [4,] -0.91729239  0.39048461 -0.74876238 -0.24163983  1.01447343  0.1383972
 [5,] -0.54898888  0.73831432  0.17337433  1.98007238 -0.41322952  1.3176107
 [6,] -0.47966116 -0.55414764 -0.16768993 -0.97915667 -0.66961279 -0.5178178
 [7,] -0.46666221  0.54060059  0.71023475 -0.48900573 -0.08143939 -0.3105920
 [8,] -0.41466642 -0.04887923  0.11021429 -0.62185038 -0.62939581  0.5183112
 [9,] -0.34967168  0.32824140  1.31025522  0.77988970  0.16488964 -2.0670774
[10,] -0.25001309 -0.34911118 -0.56559824 -1.29523531 -0.81037224 -0.2908562
[11,] -0.21968221 -1.49877990  0.14179431 -0.47984403 -0.71988402  2.6300408
[12,] -0.15035449 -2.06629152  0.12916230  0.32638556 -0.13673775 -0.7398454
[13,]  0.01429884  0.14517314  0.35653848  0.93563859  2.06011503 -0.5770252
[14,]  0.16162025  0.69071657 -0.14874192  1.76477243 -0.55398896  0.6712636
[15,]  0.35227147  1.47791012 -1.10245866  0.16605581 -0.52885335  0.7452728
[16,]  1.03254972  1.61338063 -1.32983484 -1.41891826  0.28554059  1.1942620
[17,]  1.08454551 -0.12210653 -0.45191015  0.29890046 -0.05127666 -0.6312986
[18,]  1.26653077  0.88110757  1.45552333 -0.48442488 -0.66458567 -0.3204599
[19,]  1.28819568 -0.37107938  2.11870385  1.02267474 -1.36838290 -0.2217809
[20,]  2.44943498 -0.68229543 -0.96350655 -1.69376926 -0.33279555 -0.6510344
                O          S           W           X
 [1,]  0.86642985  1.5635501  0.34014660 -1.36616530
 [2,] -1.44874879 -1.8388259 -1.57142108 -0.57899826
 [3,] -0.41315366  0.8570902  0.34483182 -0.70199311
 [4,]  0.16699649  1.5310692 -0.41417300  1.38276961
 [5,] -1.70358110  0.2886741 -0.30172784  0.49105694
 [6,]  1.63092678 -1.6195797 -0.61095202  1.72715519
 [7,] -0.42399759  0.7596474  0.97733583  0.33116364
 [8,] -0.40230973 -0.5883106  2.12052826  1.42581781
 [9,] -0.40773169 -0.6289117 -0.89675013 -0.42525470
[10,] -0.65714204  0.4591990  1.01481755  0.04827548
[11,]  2.08094979  0.1425100 -0.56409987 -0.76964028
[12,]  0.05855721 -0.8725186 -0.69528589 -0.16696551
[13,]  0.83932003  1.2793421 -0.02530016 -1.36001556
[14,]  0.70377093 -1.1567266 -0.27830177  0.34346312
[15,]  0.54111201  0.4510787  1.39431995  0.20201904
[16,] -0.75473739  0.2155921  1.67074763 -0.14236654
[17,] -1.51381236  0.1019089  0.04497806  0.14052162
[18,]  0.37845309 -1.2704098 -1.33716033  1.75790390
[19,] -0.27760456 -0.1335778 -0.26424612 -0.75119105
[20,]  0.73630271  0.4591990 -0.94828750 -1.58755604
>
